space,true_class,pred_class,high_rare,rootcause_category,n,rare_count_mean,knn_true_frac_mean,knn_pred_frac_mean
token_bin_offset,Ransomware,Spyware,True,mixed_neighbors_ambiguous,2,2.0,0.24000000000000002,0.2
token_bin_offset,Ransomware,Spyware,False,mixed_neighbors_ambiguous,128,0.0234375,0.3321875000000001,0.32031250000000006
token_bin_offset,Ransomware,Spyware,False,feature_space_overlap_with_pred_class,105,0.009523809523809525,0.2140952380952381,0.6464761904761904
token_bin_offset,Ransomware,Spyware,False,model_boundary_failure_knn_true_neighbors,23,0.043478260869565216,0.582608695652174,0.22086956521739137
token_bin_offset,Ransomware,Spyware,False,OOD_or_distribution_shift,16,0.4375,0.405,0.505
token_bin_offset,Ransomware,Trojan,True,OOD_or_distribution_shift,2,3.0,0.38,0.0
token_bin_offset,Ransomware,Trojan,False,mixed_neighbors_ambiguous,96,0.020833333333333332,0.365,0.34958333333333336
token_bin_offset,Ransomware,Trojan,False,feature_space_overlap_with_pred_class,66,0.0,0.2842424242424242,0.6187878787878789
token_bin_offset,Ransomware,Trojan,False,model_boundary_failure_knn_true_neighbors,36,0.0,0.5655555555555556,0.31444444444444447
token_bin_offset,Ransomware,Trojan,False,OOD_or_distribution_shift,2,1.0,0.28,0.6599999999999999
token_bin_offset,Spyware,Benign                                                                                      ,True,OOD_or_distribution_shift,1,9.0,0.04,0.0
token_bin_offset,Spyware,Ransomware,True,OOD_or_distribution_shift,7,4.285714285714286,0.5142857142857142,0.3657142857142857
token_bin_offset,Spyware,Ransomware,True,mixed_neighbors_ambiguous,1,2.0,0.48,0.28
token_bin_offset,Spyware,Ransomware,False,mixed_neighbors_ambiguous,95,0.06315789473684211,0.28294736842105267,0.3465263157894736
token_bin_offset,Spyware,Ransomware,False,model_boundary_failure_knn_true_neighbors,27,0.07407407407407407,0.6533333333333334,0.2755555555555556
token_bin_offset,Spyware,Ransomware,False,feature_space_overlap_with_pred_class,24,0.041666666666666664,0.20833333333333334,0.5750000000000001
token_bin_offset,Spyware,Ransomware,False,OOD_or_distribution_shift,7,0.8571428571428571,0.52,0.4457142857142858
token_bin_offset,Spyware,Trojan,True,OOD_or_distribution_shift,2,3.0,0.46,0.1
token_bin_offset,Spyware,Trojan,False,mixed_neighbors_ambiguous,104,0.019230769230769232,0.2873076923076923,0.34769230769230774
token_bin_offset,Spyware,Trojan,False,feature_space_overlap_with_pred_class,53,0.0,0.1969811320754717,0.6037735849056605
token_bin_offset,Spyware,Trojan,False,model_boundary_failure_knn_true_neighbors,32,0.03125,0.6012500000000001,0.21375
token_bin_offset,Spyware,Trojan,False,OOD_or_distribution_shift,5,0.6,0.24000000000000005,0.43999999999999995
token_bin_offset,Trojan,Ransomware,True,OOD_or_distribution_shift,2,4.0,0.30000000000000004,0.32
token_bin_offset,Trojan,Ransomware,False,mixed_neighbors_ambiguous,203,0.009852216748768473,0.32748768472906403,0.3655172413793103
token_bin_offset,Trojan,Ransomware,False,feature_space_overlap_with_pred_class,90,0.0,0.2871111111111111,0.5871111111111111
token_bin_offset,Trojan,Ransomware,False,model_boundary_failure_knn_true_neighbors,63,0.0,0.591746031746032,0.30984126984126975
token_bin_offset,Trojan,Ransomware,False,OOD_or_distribution_shift,3,0.6666666666666666,0.5733333333333334,0.39999999999999997
token_bin_offset,Trojan,Spyware,True,OOD_or_distribution_shift,2,4.5,0.12,0.88
token_bin_offset,Trojan,Spyware,False,mixed_neighbors_ambiguous,110,0.01818181818181818,0.3312727272727273,0.33272727272727276
token_bin_offset,Trojan,Spyware,False,feature_space_overlap_with_pred_class,61,0.0,0.18622950819672132,0.6400000000000001
token_bin_offset,Trojan,Spyware,False,model_boundary_failure_knn_true_neighbors,33,0.0,0.5781818181818184,0.22666666666666668
token_bin_offset,Trojan,Spyware,False,OOD_or_distribution_shift,3,0.3333333333333333,0.39999999999999997,0.27999999999999997
