scope,audit_subset,pair,feature_idx,n_samples,gradxinput_mean,gradxinput_median,gradxinput_positive_frac,abs_gradxinput_mean,feature,strategy,rare_cell_ratio_trainref_le5,rare_used_bin_ratio_le5,entropy_norm,dominant_bin_ratio
pair_subset,all_wrong_high_conf,Benign→Ransomware,11,1,0.010177107527852058,0.010177107527852058,1.0,0.010177107527852058,handles.nevent,keep_current,0.0,0.0,0.9947520106426578,0.004629234576329
pair_subset,all_wrong_high_conf,Benign→Ransomware,12,1,0.011077726259827614,0.011077726259827614,1.0,0.011077726259827614,handles.ndesktop,discrete_compact_offset0,0.0003839918081747,0.1666666666666666,0.6624280875401419,0.1653938049321614
pair_subset,all_wrong_high_conf,Benign→Ransomware,13,1,-0.04089668393135071,-0.04089668393135071,0.0,0.04089668393135071,handles.nkey,keep_current,0.0069118525471456,0.2265625,0.8172767122869657,0.030911340558068
pair_subset,all_wrong_high_conf,Benign→Ransomware,14,1,-0.02490372583270073,-0.02490372583270073,0.0,0.02490372583270073,handles.nthread,keep_current,0.0058238757573171,0.166015625,0.8934861158109448,0.0165543135079784
pair_subset,all_wrong_high_conf,Benign→Ransomware,15,1,-0.032598525285720825,-0.032598525285720825,0.0,0.032598525285720825,handles.ndirectory,discrete_compact_offset0,0.0010026452769007,0.2019230769230769,0.7041268139226854,0.0998592030036692
pair_subset,all_wrong_high_conf,Benign→Ransomware,16,1,0.23572894930839539,0.23572894930839539,1.0,0.23572894930839539,handles.nsemaphore,keep_current,0.00927980203089,0.26953125,0.7992274222335928,0.0389325027732741
pair_subset,all_wrong_high_conf,Benign→Ransomware,17,1,-0.13470184803009033,-0.13470184803009033,0.0,0.13470184803009033,handles.ntimer,discrete_compact_offset0,0.0013866370850755,0.2439024390243902,0.7453838702633432,0.0856515061012031
pair_subset,all_wrong_high_conf,Benign→Ransomware,18,1,-0.005192935466766357,-0.005192935466766357,0.0,0.005192935466766357,handles.nsection,keep_current,0.0064425292260431,0.234375,0.7928771230914666,0.0606920385698438
pair_subset,all_wrong_high_conf,Benign→Ransomware,19,1,0.1105845496058464,0.1105845496058464,1.0,0.1105845496058464,handles.nmutant,keep_current,0.0024319481184401,0.145679012345679,0.8406808847073096,0.0551668231077737
pair_subset,all_wrong_high_conf,Benign→Ransomware,20,1,0.22725233435630798,0.22725233435630798,1.0,0.22725233435630798,ldrmodules.not_in_load,keep_current,0.0015999658673948,0.2,0.7895089801002002,0.0708038228517791
pair_subset,all_wrong_high_conf,Benign→Ransomware,21,1,-0.010242213495075703,-0.010242213495075703,0.0,0.010242213495075703,ldrmodules.not_in_init,keep_current,0.0020266234320334,0.2111111111111111,0.8092464216563752,0.0510709104872429
pair_subset,all_wrong_high_conf,Benign→Ransomware,22,1,0.11786943674087524,0.11786943674087524,1.0,0.11786943674087524,ldrmodules.not_in_mem,keep_current,0.0015999658673948,0.2,0.789586786756279,0.0705904940694598
pair_subset,all_wrong_high_conf,Benign→Ransomware,23,1,-0.009052561596035957,-0.009052561596035957,0.0,0.009052561596035957,ldrmodules.not_in_load_avg,rank_uniform_offset,0.0,0.0,0.9261698233703296,0.0191142588958102
pair_subset,all_wrong_high_conf,Benign→Ransomware,24,1,-0.04427379369735718,-0.04427379369735718,0.0,0.04427379369735718,ldrmodules.not_in_init_avg,rank_uniform_offset,0.0,0.0,0.9390541473754483,0.0266874306681457
pair_subset,all_wrong_high_conf,Benign→Ransomware,25,1,0.015086395666003227,0.015086395666003227,1.0,0.015086395666003227,ldrmodules.not_in_mem_avg,rank_uniform_offset,0.0,0.0,0.9256344286247992,0.0191142588958102
pair_subset,all_wrong_high_conf,Benign→Ransomware,26,1,0.007701790425926447,0.007701790425926447,1.0,0.007701790425926447,malfind.ninjections,discrete_compact_offset0,0.0023679494837443,0.4414414414414414,0.414439567232933,0.4242896151548767
pair_subset,all_wrong_high_conf,Benign→Ransomware,27,1,0.002425803104415536,0.002425803104415536,1.0,0.002425803104415536,malfind.commitCharge,keep_current,0.0121384077139687,0.7049180327868853,0.3960846711131229,0.3265423670961686
pair_subset,all_wrong_high_conf,Benign→Ransomware,28,1,-0.0360705703496933,-0.0360705703496933,0.0,0.0360705703496933,malfind.protection,keep_current,0.0041812441334584,0.3842364532019704,0.4320945804859872,0.4135591774042154
pair_subset,all_wrong_high_conf,Benign→Ransomware,29,1,0.2781829535961151,0.2781829535961151,1.0,0.2781829535961151,malfind.uniqueInjections,rank_uniform_offset,0.0,0.0,0.4081501547524259,0.4274468811332025
pair_subset,all_wrong_high_conf,Benign→Ransomware,30,1,0.012168550863862038,0.012168550863862038,1.0,0.012168550863862038,psxview.not_in_pslist,discrete_compact_offset0,0.0003839918081747,0.225,0.4811295098566227,0.4979307108115027
pair_subset,all_wrong_high_conf,Benign→Ransomware,31,1,-0.005423433613032103,-0.005423433613032103,0.0,0.005423433613032103,psxview.not_in_eprocess_pool,discrete_compact_offset0,0.0,0.0,0.0225687031657825,0.9978027135421113
pair_subset,all_wrong_high_conf,Benign→Ransomware,32,1,0.0279544610530138,0.0279544610530138,1.0,0.0279544610530138,psxview.not_in_ethread_pool,discrete_compact_offset0,0.0014506357197713,0.5384615384615384,0.4418943899258692,0.4383906476661831
pair_subset,all_wrong_high_conf,Benign→Ransomware,33,1,0.011223316192626953,0.011223316192626953,1.0,0.011223316192626953,psxview.not_in_pspcid_list,discrete_compact_offset0,0.0004266575646386,0.225,0.4812722049435046,0.4978667121768069
