feature,split,strategy,K,raw_unique,bins_used,dead_bins,dead_bins_ratio,possible_unique,preserve_ratio,compression_factor,entropy_norm,dominant_bin_ratio,rare_bins_le5,rare_used_bin_ratio_le5,rare_sample_ratio_le5,offset_nonzero_ratio,offset_zero_ratio,offset_unique_count_rounded_1e6,offset_mean,offset_std,integer_position_ratio_inferred,used_even_bins,used_odd_bins,used_odd_bin_ratio,occupied_gap_mean,occupied_gap_max,occupied_gap_min,compact_n_unique,compact_unseen_val_count,compact_offset_zero,original_c2_strategy,effective_strategy,feature_index,abs_min,abs_max,abs_constant,abs_uses_K_minus_1,constant
ldrmodules.not_in_load_avg,train,rank_replaced_by_abs_uniform_control,1024,15444,164,860,0.83984375,1024,0.16015625,94.17073170731707,0.6863519021384357,0.09188070654492704,101,0.6158536585365854,0.0027306084136871746,0.9999573342435362,4.26657564638621e-05,15319,0.4788454473018646,0.2983684837818146,4.26657564638621e-05,85,79,0.4817073170731707,6.276073619631902,179,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,23,0.016176471,0.531120332,False,True,
ldrmodules.not_in_init_avg,train,rank_replaced_by_abs_uniform_control,1024,15577,196,828,0.80859375,1024,0.19140625,79.47448979591837,0.6211098683497196,0.08605683078760987,138,0.7040816326530612,0.004373240037545865,0.9999573342435362,4.26657564638621e-05,15454,0.4840813875198364,0.291394978761673,4.26657564638621e-05,103,93,0.4744897959183674,5.246153846153846,186,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,24,0.040525739,0.585062241,False,True,
ldrmodules.not_in_mem_avg,train,rank_replaced_by_abs_uniform_control,1024,15444,164,860,0.83984375,1024,0.16015625,94.17073170731707,0.6862663014179593,0.09207270244901442,101,0.6158536585365854,0.0027306084136871746,0.9999573342435362,4.26657564638621e-05,15318,0.47905778884887695,0.29833322763442993,4.26657564638621e-05,86,78,0.47560975609756095,6.276073619631902,179,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,25,0.016176471,0.531120332,False,True,
malfind.ninjections,train,discrete_compact_offset0,1024,111,111,913,0.8916015625,111,1.0,1.0,0.414439567232933,0.4242896151548767,49,0.44144144144144143,0.002367949483744347,0.0,1.0,1,0.0,0.0,1.0,56,55,0.4954954954954955,1.0,1,1,111.0,13.0,True,discrete_compact_offset0,discrete_compact_offset0,26,,,,,
malfind.commitCharge,train,keep_current,1024,488,121,903,0.8818359375,488,0.24795081967213115,4.033057851239669,0.06114704583331559,0.9515956992917485,88,0.7272727272727273,0.004586568819865176,0.9893762266404983,0.010623773359501664,487,0.06875729560852051,0.177344411611557,0.010623773359501664,68,53,0.4380165289256198,8.525,87,1,,,,keep_current,keep_current,27,1.0,220850.0,False,True,
malfind.protection,train,keep_current,1024,203,123,901,0.8798828125,203,0.6059113300492611,1.6504065040650406,0.4332614072738257,0.4177617544159058,50,0.4065040650406504,0.00243194811844014,0.9897175526922092,0.010282447307790767,201,0.4719848036766052,0.27384886145591736,0.010282447307790767,59,64,0.5203252032520326,8.385245901639344,163,1,,,,keep_current,keep_current,28,6.0,3762.0,False,True,
malfind.uniqueInjections,train,rank_replaced_by_abs_uniform_control,1024,4452,144,880,0.859375,1024,0.140625,30.916666666666668,0.3843564349356226,0.429452171687004,82,0.5694444444444444,0.0038185852035156585,0.572702449014421,0.427297550985579,4439,0.3856007754802704,0.37454840540885925,0.427297550985579,70,74,0.5138888888888888,7.153846153846154,256,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,29,1.0,90.66666667,False,True,
psxview.not_in_pslist,train,discrete_compact_offset0,1024,40,40,984,0.9609375,40,1.0,1.0,0.48112950985662273,0.4979307108115027,9,0.225,0.0003839918081747589,0.0,1.0,1,0.0,0.0,1.0,20,20,0.5,1.0,1,1,40.0,3.0,True,discrete_compact_offset0,discrete_compact_offset0,30,,,,,
psxview.not_in_eprocess_pool,train,discrete_compact_offset0,1024,2,2,1022,0.998046875,2,1.0,1.0,0.02256870316578253,0.9978027135421111,0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,1,1,0.5,1.0,1,1,2.0,0.0,True,discrete_compact_offset0,discrete_compact_offset0,31,,,,,
psxview.not_in_ethread_pool,train,discrete_compact_offset0,1024,78,78,946,0.923828125,78,1.0,1.0,0.4418943899258692,0.43839064766618313,42,0.5384615384615384,0.0014506357197713116,0.0,1.0,1,0.0,0.0,1.0,39,39,0.5,1.0,1,1,78.0,8.0,True,discrete_compact_offset0,discrete_compact_offset0,32,,,,,
