feature,split,strategy,K,raw_unique,bins_used,dead_bins,dead_bins_ratio,possible_unique,preserve_ratio,compression_factor,entropy_norm,dominant_bin_ratio,rare_bins_le5,rare_used_bin_ratio_le5,rare_sample_ratio_le5,offset_nonzero_ratio,offset_zero_ratio,offset_unique_count_rounded_1e6,offset_mean,offset_std,integer_position_ratio_inferred,used_even_bins,used_odd_bins,used_odd_bin_ratio,occupied_gap_mean,occupied_gap_max,occupied_gap_min,compact_n_unique,compact_unseen_val_count,compact_offset_zero,original_c2_strategy,effective_strategy,feature_index,rank_n_unique,rank_old_alias_risk_K_mod_nminus1_eq0,rank_new_uses_K_minus_1,constant,abs_min,abs_max,abs_constant,abs_uses_K_minus_1
malfind.uniqueInjections,train,rank_uniform_offset,1024,4452,1024,0,0.0,1024,1.0,4.34765625,0.3809318649050547,0.4273615496202748,960,0.9375,0.08895810222715249,0.572702449014421,0.427297550985579,4451,0.3181195557117462,0.3249302804470062,0.427297550985579,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,29,4452.0,False,True,,,,,
psxview.not_in_pslist,train,discrete_compact_offset0,1024,40,40,984,0.9609375,40,1.0,1.0,0.48112950985662273,0.4979307108115027,9,0.225,0.0003839918081747589,0.0,1.0,1,0.0,0.0,1.0,20,20,0.5,1.0,1,1,40.0,3.0,True,discrete_compact_offset0,discrete_compact_offset0,30,,,,,,,,
psxview.not_in_eprocess_pool,train,discrete_compact_offset0,1024,2,2,1022,0.998046875,2,1.0,1.0,0.02256870316578253,0.9978027135421111,0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,1,1,0.5,1.0,1,1,2.0,0.0,True,discrete_compact_offset0,discrete_compact_offset0,31,,,,,,,,
psxview.not_in_ethread_pool,train,discrete_compact_offset0,1024,78,78,946,0.923828125,78,1.0,1.0,0.4418943899258692,0.43839064766618313,42,0.5384615384615384,0.0014506357197713116,0.0,1.0,1,0.0,0.0,1.0,39,39,0.5,1.0,1,1,78.0,8.0,True,discrete_compact_offset0,discrete_compact_offset0,32,,,,,,,,
psxview.not_in_pspcid_list,train,discrete_compact_offset0,1024,40,40,984,0.9609375,40,1.0,1.0,0.4812722049435046,0.4978667121768069,9,0.225,0.00042665756463862106,0.0,1.0,1,0.0,0.0,1.0,20,20,0.5,1.0,1,1,40.0,5.0,True,discrete_compact_offset0,discrete_compact_offset0,33,,,,,,,,
psxview.not_in_csrss_handles,train,discrete_compact_offset0,1024,78,78,946,0.923828125,78,1.0,1.0,0.44227375658034435,0.437494666780442,42,0.5384615384615384,0.0014506357197713116,0.0,1.0,1,0.0,0.0,1.0,39,39,0.5,1.0,1,1,78.0,8.0,True,discrete_compact_offset0,discrete_compact_offset0,34,,,,,,,,
psxview.not_in_session,train,discrete_compact_offset0,1024,40,40,984,0.9609375,40,1.0,1.0,0.4810606180111996,0.49810137383735814,9,0.225,0.0003839918081747589,0.0,1.0,1,0.0,0.0,1.0,20,20,0.5,1.0,1,1,40.0,3.0,True,discrete_compact_offset0,discrete_compact_offset0,35,,,,,,,,
psxview.not_in_deskthrd,train,discrete_compact_offset0,1024,82,82,942,0.919921875,82,1.0,1.0,0.4825476873298571,0.3869357453707654,42,0.5121951219512195,0.0013439713286116563,0.0,1.0,1,0.0,0.0,1.0,41,41,0.5,1.0,1,1,82.0,8.0,True,discrete_compact_offset0,discrete_compact_offset0,36,,,,,,,,
psxview.not_in_pslist_false_avg,train,rank_uniform_offset,1024,7781,1024,0,0.0,1024,1.0,7.5986328125,0.5317069933773343,0.4456438262650397,1,0.0009765625,2.133287823193105e-05,0.5544841710043519,0.44551582899564807,7780,0.2589620053768158,0.32101985812187195,0.44551582899564807,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,37,7781.0,False,True,,,,,
psxview.not_in_eprocess_pool_false_avg,train,keep_current,1024,159,145,879,0.8583984375,159,0.9119496855345912,1.096551724137931,0.011063447230060077,0.9949227749808004,138,0.9517241379310345,0.003669255055892141,0.005034559262735728,0.9949654407372642,158,0.002377163851633668,0.039184533059597015,0.9949654407372642,76,69,0.47586206896551725,7.104166666666667,268,1,,,,keep_current,keep_current,38,,,,,0.0,0.043478261,False,True
psxview.not_in_ethread_pool_false_avg,train,rank_uniform_offset,1024,8346,1024,0,0.0,1024,1.0,8.150390625,0.572208669755728,0.387682396108883,1,0.0009765625,2.133287823193105e-05,0.6124669340387405,0.38753306596125947,8345,0.2842923402786255,0.3173765540122986,0.38753306596125947,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,39,8346.0,False,True,,,,,
psxview.not_in_pspcid_list_false_avg,train,rank_uniform_offset,1024,7783,1024,0,0.0,1024,1.0,7.6005859375,0.5316284601918826,0.44557982763034387,1,0.0009765625,2.133287823193105e-05,0.5545055038825838,0.44549449611741615,2594,0.2755899429321289,0.3403906226158142,0.44549449611741615,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,40,7783.0,False,True,,,,,
psxview.not_in_csrss_handles_false_avg,train,rank_uniform_offset,1024,9458,1024,0,0.0,1024,1.0,9.236328125,0.7176664076464363,0.061694683846744605,1,0.0009765625,2.133287823193105e-05,0.9999573342435362,4.26657564638621e-05,9457,0.4942893385887146,0.2681761085987091,4.26657564638621e-05,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,41,9458.0,False,True,,,,,
psxview.not_in_session_false_avg,train,rank_uniform_offset,1024,9559,1024,0,0.0,1024,1.0,9.3349609375,0.7122199220817318,0.06427596211280825,1,0.0009765625,2.133287823193105e-05,0.9999146684870722,8.53315129277242e-05,3186,0.4919072985649109,0.269607812166214,8.53315129277242e-05,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,42,9559.0,False,True,,,,,
