run,true_class,pred_class,strategy,n_features,pair_n,bin_closer_to_pred_count,bin_closer_to_pred_ratio,dist_bin_to_true_correct_mean,dist_bin_to_pred_correct_mean,dist_offset_to_true_correct_mean,dist_offset_to_pred_correct_mean,raw_closer_to_pred_count,raw_closer_to_pred_ratio,dist_raw_to_true_correct_mean,dist_raw_to_pred_correct_mean
C2_K512,Spyware,Trojan,discrete_compact_offset0,23,196,6,0.2608695652173913,0.5172664554225727,0.3555173453674251,0.0,0.0,7,0.30434782608695654,0.0033674525279227805,0.004483277524780968
C2_K512,Spyware,Trojan,keep_current,14,196,7,0.5,8.597503356489266,4.032870511752986,0.03575994849102254,0.035233955020670706,9,0.6428571428571429,0.004656435346857636,0.0030983970904604314
C2_K512,Spyware,Trojan,rank_uniform_offset,15,196,4,0.26666666666666666,13.664984997644261,19.184715921033067,0.028874429684544036,0.03527081832069589,4,0.26666666666666666,0.003994089757907204,0.00852485819583914
C2_K512,Trojan,Ransomware,constant,3,361,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
C2_K512,Trojan,Ransomware,discrete_compact_offset0,23,361,9,0.391304347826087,0.4706836880215346,0.6599892998268795,0.0,0.0,8,0.34782608695652173,0.004801923125658346,0.005121534325830315
C2_K512,Trojan,Ransomware,keep_current,14,361,3,0.21428571428571427,7.433387687280314,12.804864739722566,0.032338333963953185,0.023865303377925685,3,0.21428571428571427,0.005457619105332664,0.007203264444667313
C2_K512,Trojan,Ransomware,rank_uniform_offset,15,361,8,0.5333333333333333,23.58437661996978,22.810094408954722,0.024757911271923984,0.0236693782490735,5,0.3333333333333333,0.008360726448396841,0.009361569676548243
C2_K512,Trojan,Spyware,constant,3,209,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
C2_K512,Trojan,Spyware,discrete_compact_offset0,23,209,11,0.4782608695652174,0.4197255979842254,0.4742844136019746,0.0,0.0,11,0.4782608695652174,0.003965271981028111,0.0024218438091971302
C2_K512,Trojan,Spyware,keep_current,14,209,3,0.21428571428571427,4.229257376502846,9.229824741351887,0.042505906938637525,0.03659258135717952,1,0.07142857142857142,0.0023306967210763624,0.004937755870547075
C2_K512,Trojan,Spyware,rank_uniform_offset,15,209,12,0.8,29.509466857525396,22.195900748225363,0.03574645942891574,0.0327202817037127,11,0.7333333333333333,0.01202164995847852,0.004350548225678115
K1024_ABS_CONTROL,Ransomware,Spyware,unknown,55,309,32,0.5818181818181818,3.6411487734189656,2.54980697061776,0.009527619758293995,0.009146055956189284,30,0.5454545454545454,0.005251563458957455,0.003913227138532834
K1024_ABS_CONTROL,Ransomware,Trojan,unknown,55,240,34,0.6181818181818182,4.658712121212118,3.2096334787151837,0.019523546822122314,0.011596696089456439,35,0.6363636363636364,0.006730355682190169,0.0048800142714753745
K1024_ABS_CONTROL,Spyware,Ransomware,unknown,55,193,19,0.34545454545454546,2.9903019036626595,3.200659845060684,0.016718589446528716,0.013647752835121525,22,0.4,0.004351063059981574,0.005038913690739057
K1024_ABS_CONTROL,Spyware,Trojan,unknown,55,239,30,0.5454545454545454,3.112944385243084,2.2758377182652496,0.019709880323537498,0.01111214425218183,31,0.5636363636363636,0.004079957520165904,0.003242318205196749
K1024_ABS_CONTROL,Trojan,Ransomware,unknown,55,353,16,0.2909090909090909,2.971893283335153,3.7058269269757393,0.016158225407460435,0.012930322977576942,16,0.2909090909090909,0.004110143892467022,0.0053626915418796915
K1024_ABS_CONTROL,Trojan,Spyware,unknown,55,210,22,0.4,5.043134796238243,3.85452562704471,0.023815693001868164,0.021951871270866917,24,0.43636363636363634,0.007071497411975129,0.00531075338579037
K1024_RANK_SAFE,Ransomware,Spyware,unknown,55,301,25,0.45454545454545453,7.7721979504056495,5.22408604014611,0.011407013444724022,0.010230656009958098,25,0.45454545454545453,0.004239347848025235,0.003300976757468148
K1024_RANK_SAFE,Ransomware,Trojan,unknown,55,266,34,0.6181818181818182,11.178492273002252,9.852723528971943,0.016628877983775207,0.011428578237195623,29,0.5272727272727272,0.006221706428649751,0.005798093445429748
K1024_RANK_SAFE,Spyware,Ransomware,unknown,55,190,26,0.4727272727272727,6.713800256859025,8.8484433261838,0.015337665324244649,0.011520603805906384,31,0.5636363636363636,0.005699275789613074,0.005628554374826226
K1024_RANK_SAFE,Spyware,Trojan,unknown,55,252,18,0.32727272727272727,7.696177987433593,10.41413273822118,0.020394510575265434,0.014076927848394092,20,0.36363636363636365,0.0037505712613479275,0.004326163689455081
K1024_RANK_SAFE,Trojan,Ransomware,unknown,55,384,22,0.4,12.583942802736445,12.74159156217346,0.015672440769950072,0.01047262994281326,17,0.3090909090909091,0.004519934160634875,0.005656685358421369
K1024_RANK_SAFE,Trojan,Spyware,unknown,55,224,16,0.2909090909090909,15.5117390028513,14.326477418321588,0.020376172837634435,0.014978030836707519,20,0.36363636363636365,0.005609231484545903,0.0044876067306507715
