run,true_class,pred_class,pair_n,feature_idx,feature,strategy,pair_bin_mean,true_correct_bin_mean,pred_correct_bin_mean,dist_bin_to_true_correct,dist_bin_to_pred_correct,bin_closer_to_pred_correct,pair_offset_mean,true_correct_offset_mean,pred_correct_offset_mean,dist_offset_to_true_correct,dist_offset_to_pred_correct,offset_closer_to_pred_correct,pair_raw_mean,true_correct_raw_mean,pred_correct_raw_mean,dist_raw_to_true_correct,dist_raw_to_pred_correct,raw_closer_to_pred_correct,bin_pred_minus_true_distance_advantage
C2_K512,Trojan,Ransomware,361,20,ldrmodules.not_in_load,keep_current,86.19113573407202,88.89299171062547,87.75986394557823,2.7018559765534462,1.5687282115062118,True,0.4585917695242282,0.5087703607987666,0.46645547900678347,0.05017859127453839,0.00786370948255527,True,0.16923774778842926,0.17461282014846802,0.1723170280456543,0.005375072360038757,0.0030792802572250366,True,1.1331277650472344
C2_K512,Trojan,Ransomware,361,34,psxview.not_in_csrss_handles,discrete_compact_offset0,2.518005540166205,1.9427279577995478,2.498639455782313,0.5752775823666574,0.01936608438389209,True,0.0,0.0,0.0,0.0,0.0,False,0.012541171163320541,0.009665313176810741,0.013118083588778973,0.0028758579865098,0.0005769124254584312,True,0.5559114979827653
C2_K512,Trojan,Ransomware,361,32,psxview.not_in_ethread_pool,discrete_compact_offset0,2.518005540166205,1.9404672192916352,2.4938775510204083,0.5775383208745699,0.024127989145796835,True,0.0,0.0,0.0,0.0,0.0,False,0.012541171163320541,0.00965406559407711,0.01309439167380333,0.002887105569243431,0.0005532205104827881,True,0.5534103317287731
C2_K512,Trojan,Ransomware,361,36,psxview.not_in_deskthrd,discrete_compact_offset0,4.545706371191136,4.0,4.6748299319727895,0.5457063711911356,0.12912356078165388,True,0.0,0.0,0.0,0.0,0.0,False,0.022392643615603447,0.019704431295394897,0.023685533553361893,0.0026882123202085495,0.0012928899377584457,True,0.41658281040948175
C2_K512,Trojan,Ransomware,361,45,svcscan.nservices,discrete_compact_offset0,22.700831024930746,22.842501883948756,22.722448979591835,0.14167085901801002,0.021617954661088845,True,0.0,0.0,0.0,0.0,0.0,False,0.9785847663879395,0.9794730544090271,0.9778199195861816,0.0008882880210876465,0.0007648468017578125,True,0.12005290435692118
C2_K512,Trojan,Ransomware,361,49,svcscan.shared_process_services,discrete_compact_offset0,18.83656509695291,18.91785983421251,18.829931972789115,0.08129473725960068,0.00663312416379469,True,0.0,0.0,0.0,0.0,0.0,False,0.9760026931762695,0.9772534370422363,0.9756137728691101,0.0012507438659667969,0.00038892030715942383,True,0.07466161309580599
C2_K512,Trojan,Ransomware,361,48,svcscan.process_services,discrete_compact_offset0,9.894736842105264,9.953278070836474,9.9,0.05854122873120993,0.005263157894736636,True,0.0,0.0,0.0,0.0,0.0,False,0.8447368741035461,0.8476638793945312,0.8450000286102295,0.0029270052909851074,0.0002631545066833496,True,0.05327807083647329
C2_K512,Trojan,Ransomware,361,52,callbacks.ncallbacks,discrete_compact_offset0,9.476454293628809,9.553880934438583,9.434013605442177,0.07742664080977413,0.04244068818663216,True,0.0,0.0,0.0,0.0,0.0,False,0.9199517369270325,0.9346705079078674,0.9106576442718506,0.014718770980834961,0.009294092655181885,True,0.03498595262314197
C2_K512,Trojan,Ransomware,361,46,svcscan.kernel_drivers,discrete_compact_offset0,16.916897506925206,16.96006028636021,16.899319727891157,0.04316277943500424,0.017577779034049,True,0.0,0.0,0.0,0.0,0.0,False,0.9932157397270203,0.9937728643417358,0.9921095967292786,0.0005571246147155762,0.0011061429977416992,False,0.025585000400955238
C2_K512,Trojan,Ransomware,361,44,modules.nmodules,discrete_compact_offset0,1.9473684210526316,1.9675960813865863,1.9612244897959183,0.020227660333954622,0.013856068743286709,True,0.0,0.0,0.0,0.0,0.0,False,0.9956139922142029,0.9972997307777405,0.9967687129974365,0.0016857385635375977,0.0011547207832336426,True,0.006371591590667913
