audit_subset,pair,feature_idx,feature,strategy,n_samples,scope,last_cls_attention_mean,last_cls_attention_median,rollout_attention_mean,rollout_attention_median
feature_space_overlap,ALL,22,ldrmodules.not_in_mem,keep_current,320,subset,,,,
model_amplification,ALL,22,ldrmodules.not_in_mem,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,23,ldrmodules.not_in_load_avg,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,23,ldrmodules.not_in_load_avg,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,23,ldrmodules.not_in_load_avg,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,23,ldrmodules.not_in_load_avg,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,23,ldrmodules.not_in_load_avg,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,24,ldrmodules.not_in_init_avg,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,24,ldrmodules.not_in_init_avg,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,24,ldrmodules.not_in_init_avg,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,24,ldrmodules.not_in_init_avg,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,24,ldrmodules.not_in_init_avg,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,25,ldrmodules.not_in_mem_avg,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,25,ldrmodules.not_in_mem_avg,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,25,ldrmodules.not_in_mem_avg,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,25,ldrmodules.not_in_mem_avg,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,25,ldrmodules.not_in_mem_avg,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,26,malfind.ninjections,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,26,malfind.ninjections,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,26,malfind.ninjections,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,26,malfind.ninjections,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,26,malfind.ninjections,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,27,malfind.commitCharge,keep_current,320,subset,,,,
cls_ood_confident,ALL,27,malfind.commitCharge,keep_current,320,subset,,,,
correct_high_conf_control,ALL,27,malfind.commitCharge,keep_current,320,subset,,,,
feature_space_overlap,ALL,27,malfind.commitCharge,keep_current,320,subset,,,,
model_amplification,ALL,27,malfind.commitCharge,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,28,malfind.protection,keep_current,320,subset,,,,
cls_ood_confident,ALL,28,malfind.protection,keep_current,320,subset,,,,
correct_high_conf_control,ALL,28,malfind.protection,keep_current,320,subset,,,,
feature_space_overlap,ALL,28,malfind.protection,keep_current,320,subset,,,,
model_amplification,ALL,28,malfind.protection,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,29,malfind.uniqueInjections,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,29,malfind.uniqueInjections,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,29,malfind.uniqueInjections,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,29,malfind.uniqueInjections,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,29,malfind.uniqueInjections,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,30,psxview.not_in_pslist,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,30,psxview.not_in_pslist,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,30,psxview.not_in_pslist,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,30,psxview.not_in_pslist,discrete_compact_offset0,320,subset,,,,
