run,split,feature,strategy_C2,strategy,bins_used,bins_used_C2,bins_used_delta_vs_C2,used_bin_ratio,used_bin_ratio_C2,used_bin_ratio_delta_vs_C2,dominant_bin_ratio,dominant_bin_ratio_C2,dominant_bin_ratio_delta_vs_C2,rare_used_bin_ratio_le5,rare_used_bin_ratio_le5_C2,rare_used_bin_ratio_le5_delta_vs_C2,rare_cell_ratio_trainref_le5,rare_cell_ratio_trainref_le5_C2,rare_cell_ratio_trainref_le5_delta_vs_C2,unseen_cell_ratio_trainref,unseen_cell_ratio_trainref_C2,unseen_cell_ratio_trainref_delta_vs_C2,entropy_norm,entropy_norm_C2,entropy_norm_delta_vs_C2,compression_factor,compression_factor_C2,compression_factor_delta_vs_C2,offset_nonzero_ratio,offset_nonzero_ratio_C2,offset_nonzero_ratio_delta_vs_C2,offset_std,offset_std_C2,offset_std_delta_vs_C2
K1024_ABS_CONTROL,train,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,unknown,358,512,-154,0.349609375,1.0,-0.650390625,0.44796910999232015,0.4457504906561993,0.0022186193361208306,0.2877094972067039,0.0,0.2877094972067039,0.00445857155047359,0.0,0.00445857155047359,0.0,0.0,0.0,0.5501241762669746,0.5651203929512788,-0.014996216684304176,130.9385474860335,91.5546875,39.383859986033514,0.5545481696390477,0.5545481696390477,0.0,0.33484914898872375,0.31896117329597473,0.015887975692749023
K1024_ABS_CONTROL,train,ldrmodules.not_in_init_avg,rank_uniform_offset,unknown,196,512,-316,0.19140625,1.0,-0.80859375,0.08605683078760987,0.026687430668145745,0.05936940011946412,0.7040816326530612,0.0,0.7040816326530612,0.004373240037545865,0.0,0.004373240037545865,0.0,0.0,0.0,0.6211098683497196,0.9390541473754485,-0.31794427902572886,239.16326530612244,91.5546875,147.60857780612244,0.9999573342435362,0.9997226725829849,0.00023466166055130522,0.291394978761673,0.2903149127960205,0.0010800659656524658
K1024_ABS_CONTROL,train,handles.nhandles,rank_uniform_offset,unknown,371,512,-141,0.3623046875,1.0,-0.6376953125,0.035263247717382026,0.01565833262223739,0.019604915095144636,0.3423180592991914,0.0,0.3423180592991914,0.004309241402850073,0.0,0.004309241402850073,0.0,0.0,0.0,0.7979461354706138,0.9198092477997551,-0.12186311232914138,126.35040431266846,91.5546875,34.79571681266846,0.9999573342435362,0.9981867053502859,0.0017706288932503034,0.288443922996521,0.2909584045410156,-0.002514481544494629
K1024_ABS_CONTROL,train,malfind.uniqueInjections,rank_uniform_offset,unknown,144,512,-368,0.140625,1.0,-0.859375,0.429452171687004,0.4274468811332025,0.0020052905538014976,0.5694444444444444,0.0,0.5694444444444444,0.0038185852035156585,0.0,0.0038185852035156585,0.0,0.0,0.0,0.3843564349356226,0.4081501547524259,-0.023793719816803283,325.52777777777777,91.5546875,233.97309027777777,0.572702449014421,0.5727237818926529,-2.1332878231916652e-05,0.37454840540885925,0.30350589752197266,0.0710425078868866
K1024_ABS_CONTROL,train,handles.nsemaphore,keep_current,unknown,624,512,112,0.609375,1.0,-0.390625,0.038164519156924655,0.03893250277327417,-0.000767983616349513,0.3189102564102564,0.26953125,0.04937900641025639,0.012949057086782149,0.009279802030890008,0.0036692550558921413,0.0,0.0,0.0,0.8012217111358376,0.7992274222335928,0.001994288902244845,75.12179487179488,91.5546875,-16.432892628205124,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.29273900389671326,0.2876265347003937,0.00511246919631958
K1024_ABS_CONTROL,train,handles.nthread,keep_current,unknown,746,512,234,0.728515625,1.0,-0.271484375,0.012522399522143528,0.016554313507978497,-0.004031913985834969,0.24128686327077747,0.166015625,0.07527123827077747,0.00870381431862787,0.005823875757317177,0.0028799385613106927,0.0,0.0,0.0,0.8879059701383881,0.8934861158109448,-0.005580145672556713,62.83646112600536,91.5546875,-28.71822637399464,0.9994240122877378,0.9980373752026623,0.0013866370850754706,0.2881649136543274,0.2878555655479431,0.00030934810638427734
K1024_ABS_CONTROL,train,handles.avg_handles_per_proc,rank_uniform_offset,unknown,253,512,-259,0.2470703125,1.0,-0.7529296875,0.05538015189009301,0.012181073470432631,0.04319907841966038,0.45454545454545453,0.0,0.45454545454545453,0.0028799385613106922,0.0,0.0028799385613106922,0.0,0.0,0.0,0.7957429124524033,0.9584890477296151,-0.16274613527721182,185.2806324110672,91.5546875,93.72594491106719,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.291206032037735,0.2884872853755951,0.0027187466621398926
K1024_ABS_CONTROL,train,ldrmodules.not_in_load_avg,rank_uniform_offset,unknown,164,512,-348,0.16015625,1.0,-0.83984375,0.09188070654492704,0.019114258895810223,0.07276644764911681,0.6158536585365854,0.0,0.6158536585365854,0.0027306084136871746,0.0,0.0027306084136871746,0.0,0.0,0.0,0.6863519021384357,0.9261698233703296,-0.23981792123189394,285.8292682926829,91.5546875,194.2745807926829,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.2983684837818146,0.2888041138648987,0.009564369916915894
K1024_ABS_CONTROL,train,ldrmodules.not_in_mem_avg,rank_uniform_offset,unknown,164,512,-348,0.16015625,1.0,-0.83984375,0.09207270244901442,0.019114258895810223,0.07295844355320419,0.6158536585365854,0.0,0.6158536585365854,0.0027306084136871746,0.0,0.0027306084136871746,0.0,0.0,0.0,0.6862663014179593,0.9256344286247992,-0.23936812720683986,285.8292682926829,91.5546875,194.2745807926829,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.29833322763442993,0.2889976501464844,0.009335577487945557
K1024_ABS_CONTROL,train,handles.nfile,keep_current,unknown,125,297,-172,0.1220703125,0.580078125,-0.4580078125,0.2914284495264101,0.016660977899138153,0.27476747162727194,0.728,0.0,0.728,0.0022399522143527603,0.0,0.0022399522143527603,0.0,0.0,0.0,0.4993742056073446,0.9654571679022621,-0.4660829622949175,375.008,157.83164983164983,217.17635016835015,0.9999573342435362,0.16148988821571805,0.8384674460278181,0.28552255034446716,0.2009437084197998,0.08457884192466736
