run,split,feature_idx,feature,strategy,num_bins,bins_used,dead_bins,used_bin_ratio,dominant_bin,dominant_bin_count,dominant_bin_ratio,rare_used_bins_le5,rare_used_bin_ratio_le5,rare_cell_ratio_own_le5,rare_cell_ratio_trainref_le5,unseen_cell_ratio_trainref,entropy_norm,compression_factor,offset_nonzero_ratio,offset_mean,offset_std,offset_unique_approx,class_Benign_bins_used,class_Benign_dominant_ratio,class_Benign_rare_trainref_ratio,class_Ransomware_bins_used,class_Ransomware_dominant_ratio,class_Ransomware_rare_trainref_ratio,class_Spyware_bins_used,class_Spyware_dominant_ratio,class_Spyware_rare_trainref_ratio,class_Trojan_bins_used,class_Trojan_dominant_ratio,class_Trojan_rare_trainref_ratio
K1024_RANK_SAFE,train,28,malfind.protection,unknown,1024,123,901,0.1201171875,3,19583,0.4177617544159058,50,0.4065040650406504,0.00243194811844014,0.00243194811844014,0.0,0.4332614072738257,381.1056910569106,0.9897175526922092,0.4719848036766052,0.27384886145591736,201,33,0.26947691782575306,0.0006399863469579316,78,0.6049540347293156,0.010980592441266599,83,0.6065369261477046,0.01222554890219561,39,0.6592885375494071,0.005006587615283268
K1024_RANK_SAFE,train,29,malfind.uniqueInjections,unknown,1024,1024,0,1.0,0,20033,0.4273615496202748,960,0.9375,0.08895810222715249,0.08895810222715249,0.0,0.3809318649050547,45.77734375,0.572702449014421,0.3181195557117462,0.3249302804470062,4451,986,0.25223995221435275,0.17864152231419064,53,0.8366956077630235,0.007533197139938713,54,0.811751497005988,0.005988023952095809,46,0.8432147562582345,0.005797101449275362
K1024_RANK_SAFE,train,30,psxview.not_in_pslist,unknown,1024,40,984,0.0390625,0,23341,0.4979307108115027,9,0.225,0.0003839918081747589,0.0003839918081747589,0.0,0.48112950985662273,1171.9,0.0,0.0,0.0,1,18,0.5931393463606109,0.00012799726939158632,36,0.42147599591419815,0.007150153217568948,36,0.41404690618762474,0.003493013972055888,21,0.37140974967061924,0.002898550724637681
K1024_RANK_SAFE,train,31,psxview.not_in_eprocess_pool,unknown,1024,2,1022,0.001953125,0,46773,0.9978027135421111,0,0.0,0.0,0.0,0.0,0.02256870316578253,23438.0,0.0,0.0,0.0,1,2,0.9994453451659698,0.0,2,0.9969356486210419,0.0,2,0.9953842315369261,0.0,2,0.9961791831357049,0.0
K1024_RANK_SAFE,train,32,psxview.not_in_ethread_pool,unknown,1024,78,946,0.076171875,0,20550,0.43839064766618313,42,0.5384615384615384,0.0014506357197713116,0.0014506357197713116,0.0,0.4418943899258692,600.974358974359,0.0,0.0,0.0,1,22,0.5441163921836334,0.0001706630258554484,69,0.3269918283963228,0.012257405515832482,53,0.33907185628742514,0.003992015968063872,28,0.33175230566534913,0.0030303030303030303
K1024_RANK_SAFE,train,33,psxview.not_in_pspcid_list,unknown,1024,40,984,0.0390625,0,23338,0.4978667121768069,9,0.225,0.00042665756463862106,0.00042665756463862106,0.0,0.4812722049435046,1171.9,0.0,0.0,0.0,1,18,0.5931393463606109,0.00012799726939158632,36,0.421220633299285,0.007405515832482125,36,0.41404690618762474,0.003493013972055888,22,0.37127799736495387,0.0030303030303030303
K1024_RANK_SAFE,train,34,psxview.not_in_csrss_handles,unknown,1024,78,946,0.076171875,0,20508,0.437494666780442,42,0.5384615384615384,0.0014506357197713116,0.0014506357197713116,0.0,0.44227375658034435,600.974358974359,0.0,0.0,0.0,1,22,0.54330574281082,0.0001706630258554484,69,0.3263534218590398,0.01238508682328907,53,0.3379491017964072,0.004740518962075849,28,0.330566534914361,0.0030303030303030303
K1024_RANK_SAFE,train,35,psxview.not_in_session,unknown,1024,40,984,0.0390625,0,23349,0.49810137383735814,9,0.225,0.0003839918081747589,0.0003839918081747589,0.0,0.4810606180111996,1171.9,0.0,0.0,0.0,1,18,0.5931393463606109,0.00012799726939158632,36,0.4219867211440245,0.007150153217568948,36,0.41429640718562877,0.003493013972055888,21,0.3716732542819499,0.002898550724637681
K1024_RANK_SAFE,train,36,psxview.not_in_deskthrd,unknown,1024,82,942,0.080078125,2,18138,0.3869357453707654,42,0.5121951219512195,0.0013439713286116563,0.0013439713286116563,0.0,0.4825476873298571,571.6585365853658,0.0,0.0,0.0,1,23,0.5038825838382115,0.0001706630258554484,71,0.27145045965270687,0.011235955056179775,54,0.25823353293413176,0.0029940119760479044,29,0.2808959156785244,0.0034255599472990776
K1024_RANK_SAFE,train,37,psxview.not_in_pslist_false_avg,unknown,1024,1024,0,1.0,0,20890,0.4456438262650397,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.5317069933773343,45.77734375,0.5544841710043519,0.2589620053768158,0.32101985812187195,7780,1013,0.48856557726768496,0.0014079699633074495,220,0.42147599591419815,0.03485699693564862,238,0.41404690618762474,0.03493013972055888,139,0.37140974967061924,0.015678524374176547
K1024_RANK_SAFE,train,38,psxview.not_in_eprocess_pool_false_avg,unknown,1024,145,879,0.1416015625,0,46638,0.9949227749808004,138,0.9517241379310345,0.003669255055892141,0.003669255055892141,0.0,0.011063447230060077,323.28275862068966,0.005034559262735728,0.002377163851633668,0.039184533059597015,158,128,0.9936854680433485,0.00588787439201297,11,0.9969356486210419,0.0022982635342185904,19,0.9953842315369261,0.003493013972055888,12,0.9961791831357049,0.002766798418972332
