run,split,feature,strategy_C2,strategy,bins_used,bins_used_C2,bins_used_delta_vs_C2,used_bin_ratio,used_bin_ratio_C2,used_bin_ratio_delta_vs_C2,dominant_bin_ratio,dominant_bin_ratio_C2,dominant_bin_ratio_delta_vs_C2,rare_used_bin_ratio_le5,rare_used_bin_ratio_le5_C2,rare_used_bin_ratio_le5_delta_vs_C2,rare_cell_ratio_trainref_le5,rare_cell_ratio_trainref_le5_C2,rare_cell_ratio_trainref_le5_delta_vs_C2,unseen_cell_ratio_trainref,unseen_cell_ratio_trainref_C2,unseen_cell_ratio_trainref_delta_vs_C2,entropy_norm,entropy_norm_C2,entropy_norm_delta_vs_C2,compression_factor,compression_factor_C2,compression_factor_delta_vs_C2,offset_nonzero_ratio,offset_nonzero_ratio_C2,offset_nonzero_ratio_delta_vs_C2,offset_std,offset_std_C2,offset_std_delta_vs_C2
K1024_RANK_SAFE,train,psxview.not_in_session_false_avg,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.06427596211280825,0.06446795801689564,-0.00019199590408738865,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.7122199220817318,0.7579223476549959,-0.045702425573264094,45.77734375,91.5546875,-45.77734375,0.9999146684870722,0.9999573342435362,-4.2665756463944327e-05,0.269607812166214,0.2897352874279022,-0.020127475261688232
K1024_RANK_SAFE,train,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.06120402764741019,0.06139602355149757,-0.0001919959040873817,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.7251749373857926,0.7731383545067176,-0.047963417120925,45.77734375,91.5546875,-45.77734375,0.9999146684870722,0.9938987968256677,0.006015871661404493,0.26115667819976807,0.2908897399902344,-0.02973306179046631
K1024_RANK_SAFE,train,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.44557982763034387,0.4457504906561993,-0.00017066302585544424,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.5316284601918826,0.5651203929512788,-0.033491932759396215,45.77734375,91.5546875,-45.77734375,0.5545055038825838,0.5545481696390477,-4.2665756463944327e-05,0.3403906226158142,0.31896117329597473,0.021429449319839478
K1024_RANK_SAFE,train,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.387682396108883,0.38785305913473844,-0.00017066302585544424,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.572208669755728,0.6078890526288423,-0.03568038287311426,45.77734375,91.5546875,-45.77734375,0.6124669340387405,0.6124882669169724,-2.1332878231916652e-05,0.3173765540122986,0.3390826880931854,-0.02170613408088684
K1024_RANK_SAFE,train,psxview.not_in_pslist_false_avg,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.4456438262650397,0.4458144892908951,-0.00017066302585544424,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.5317069933773343,0.5649092917914776,-0.03320229841414335,45.77734375,91.5546875,-45.77734375,0.5544841710043519,0.5544841710043519,0.0,0.32101985812187195,0.29848596453666687,0.022533893585205078
K1024_RANK_SAFE,train,dlllist.ndlls,keep_current,unknown,787,512,275,0.7685546875,1.0,-0.2314453125,0.038783172625650654,0.028351395170236368,0.010431777455414286,0.33672172808132145,0.130859375,0.20586235308132145,0.013354381773188838,0.0059518730267087636,0.007402508746480074,0.0,0.0,0.0,0.8282982084204537,0.8525194789024727,-0.024221270482019053,59.56289707750953,91.5546875,-31.991790422490467,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.28895074129104614,0.28996628522872925,-0.0010155439376831055
K1024_RANK_SAFE,train,handles.nthread,keep_current,unknown,746,512,234,0.728515625,1.0,-0.271484375,0.012522399522143528,0.016554313507978497,-0.004031913985834969,0.24128686327077747,0.166015625,0.07527123827077747,0.00870381431862787,0.005823875757317177,0.0028799385613106927,0.0,0.0,0.0,0.8879059701383881,0.8934861158109448,-0.005580145672556713,62.83646112600536,91.5546875,-28.71822637399464,0.9994240122877378,0.9980373752026623,0.0013866370850754706,0.2881649136543274,0.2878555655479431,0.00030934810638427734
K1024_RANK_SAFE,train,handles.nevent,keep_current,unknown,655,493,162,0.6396484375,0.962890625,-0.3232421875,0.02818073214438092,0.004629234576329039,0.02355149756805188,0.29770992366412213,0.0,0.29770992366412213,0.010303780186022697,0.0,0.010303780186022697,0.0,0.0,0.0,0.8428843942005663,0.9947520106426578,-0.15186761644209157,71.56641221374046,95.08316430020284,-23.516752086462375,0.9999573342435362,0.5374818670535029,0.4624754671900333,0.2884461581707001,0.2939316928386688,-0.00548553466796875
K1024_RANK_SAFE,train,handles.nsemaphore,keep_current,unknown,624,512,112,0.609375,1.0,-0.390625,0.038164519156924655,0.03893250277327417,-0.000767983616349513,0.3189102564102564,0.26953125,0.04937900641025639,0.012949057086782149,0.009279802030890008,0.0036692550558921413,0.0,0.0,0.0,0.8012217111358376,0.7992274222335928,0.001994288902244845,75.12179487179488,91.5546875,-16.432892628205124,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.29273900389671326,0.2876265347003937,0.00511246919631958
K1024_RANK_SAFE,train,handles.nkey,keep_current,unknown,522,512,10,0.509765625,1.0,-0.490234375,0.03426060244048127,0.030911340558068094,0.0033492618824131765,0.31226053639846746,0.2265625,0.08569803639846746,0.0063785305913473846,0.006911852547145661,-0.0005333219557982763,0.0,0.0,0.0,0.7966202496672807,0.8172767122869657,-0.020656462619685012,89.80076628352491,91.5546875,-1.7539212164750921,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.28356465697288513,0.2983532249927521,-0.014788568019866943
